Gen,BestFit
0,913350
1,913350
2,913350
3,913350
4,913350
5,912880
6,912880
7,912880
8,912880
9,912880
10,912880
11,912880
12,912880
13,912880
14,912880
15,912880
16,912880
17,912880
18,912880
19,912880
20,912880
21,912880
22,912880
23,912880
24,912880
25,912880
26,912880
27,912880
28,912880
29,912880
30,912880
31,912880
32,912880
33,912880
34,912880
35,912880
36,912880
37,912880
38,912880
39,912880
40,912880
41,912880
42,912880
43,912880
44,912880
45,912880
46,912880
47,912880
48,912880
49,912880
50,912880
51,912880
52,912880
53,912880
54,912880
55,912880
56,912880
57,912880
58,912880
59,912880
60,912880
61,912880
62,912880
63,912880
64,912880
65,912880
66,912880
67,912880
68,912880
69,912880
70,912880
71,912880
72,912880
73,912880
74,912880
75,912880
76,912880
77,912880
78,912880
79,912880
80,912880
81,912880
82,912880
83,912880
84,912880
85,912880
86,912880
87,912880
88,912880
89,912665
90,912665
91,912665
92,912665
93,912665
94,912665
95,912665
96,912665
97,912665
98,912665
99,912665
