Gen,BestFit
0,913620
1,913620
2,913620
3,913620
4,913620
5,913620
6,912735
7,912735
8,912735
9,912735
10,912735
11,912735
12,912735
13,912735
14,912735
15,912735
16,912735
17,912735
18,912735
19,912735
20,912735
21,912735
22,912735
23,912735
24,912735
25,912735
26,912735
27,912735
28,912735
29,912735
30,912735
31,912735
32,912735
33,912735
34,912735
35,912735
36,912735
37,912735
38,912735
39,912735
40,912735
41,912735
42,912735
43,912735
44,912735
45,912735
46,912735
47,912735
48,912735
49,912735
50,912735
51,912735
52,912735
53,912735
54,912735
55,912735
56,912735
57,912735
58,912735
59,912735
60,912735
61,912735
62,912735
63,912735
64,912735
65,912735
66,912735
67,912735
68,912735
69,912735
70,912735
71,912735
72,912735
73,912735
74,912735
75,912735
76,912735
77,912735
78,912735
79,912735
80,912615
81,912615
82,912615
83,912615
84,912615
85,912615
86,912615
87,912615
88,912615
89,912615
90,912615
91,912615
92,912615
93,912615
94,912615
95,912615
96,912615
97,912615
98,912615
99,912615
