Gen,BestFit
0,913755
1,913755
2,913755
3,913755
4,913515
5,913515
6,913335
7,913335
8,913335
9,913335
10,913335
11,913150
12,913150
13,913150
14,913150
15,913150
16,913150
17,913150
18,913150
19,913150
20,913150
21,913150
22,913150
23,913150
24,913150
25,913030
26,913030
27,913030
28,913030
29,913030
30,913030
31,913030
32,913030
33,913030
34,913030
35,913030
36,913030
37,913030
38,913030
39,913030
40,913030
41,913030
42,913030
43,913030
44,913030
45,913030
46,912815
47,912815
48,912815
49,912815
50,912815
51,912815
52,912815
53,912690
54,912690
55,912690
56,912690
57,912690
58,912690
59,912690
60,912690
61,912690
62,912690
63,912690
64,912690
65,912690
66,912690
67,912690
68,912690
69,912690
70,912690
71,912690
72,912690
73,912690
74,912690
75,912690
76,912690
77,912690
78,912690
79,912690
80,912690
81,912690
82,912690
83,912690
84,912690
85,912690
86,912690
87,912690
88,912690
89,912690
90,912690
91,912690
92,912690
93,912690
94,912690
95,912690
96,912690
97,912690
98,912690
99,912690
