Gen,BestFit
0,4471824
1,4471824
2,4471784
3,4470949
4,4470934
5,4469999
6,4469999
7,4469999
8,4469999
9,4469999
10,4469999
11,4469999
12,4469959
13,4469959
14,4469959
15,4469959
16,4469959
17,4469959
18,4469959
19,4469959
20,4469889
21,4469889
22,4469889
23,4469889
24,4469889
25,4469889
26,4469889
27,4469889
28,4469889
29,4469889
30,4469889
31,4469889
32,4469889
33,4469889
34,4469889
35,4469889
36,4469889
37,4469889
38,4469889
39,4469889
40,4469889
41,4469889
42,4469889
43,4469889
44,4469889
45,4469889
46,4469889
47,4469889
48,4469889
49,4469889
50,4469889
51,4469889
52,4469889
53,4469889
54,4469864
55,4469864
56,4469864
57,4469864
58,4469864
59,4469864
60,4469864
61,4469864
62,4469864
63,4469864
64,4469864
65,4469864
66,4469864
67,4469864
68,4469864
69,4469844
70,4469844
71,4469844
72,4469844
73,4469844
74,4469844
75,4469844
76,4469844
77,4469844
78,4469844
79,4469844
80,4469844
81,4469844
82,4469844
83,4469844
84,4469844
85,4469844
86,4469844
87,4469844
88,4469844
89,4469844
90,4469844
91,4469844
92,4469844
93,4469844
94,4469844
95,4469829
96,4469829
97,4469829
98,4469829
99,4469829
