,0
0,60340
1,60235
2,59830
3,59605
4,59520
5,59235
6,59235
7,59110
8,58820
9,58785
10,58610
11,58585
12,58330
13,58270
14,58170
15,58170
16,58080
17,58050
18,57970
19,57860
20,57860
21,57615
22,57580
23,57580
24,57580
25,57445
26,57445
27,57445
28,57445
29,57385
30,57385
31,57385
32,57230
33,57230
34,57230
35,57165
36,57165
37,57165
38,56960
39,56960
40,56960
41,56960
42,56960
43,56760
44,56760
45,56760
46,56760
47,56760
48,56760
49,56760
50,56760
51,56670
52,56670
53,56670
54,56610
55,56610
56,56610
57,56610
58,56610
59,56490
60,56490
61,56490
62,56490
63,56435
64,56395
65,56395
66,56395
67,56285
68,56285
69,56285
70,56285
71,56285
72,56285
73,56285
74,56285
75,56270
76,56270
77,56210
78,56210
79,56210
80,56210
81,56210
82,56210
83,56210
84,56210
85,56210
86,56210
87,56155
88,56155
89,56130
90,56130
91,56130
92,56130
93,56130
94,56130
95,56130
96,56130
97,56130
98,56130
99,56130
