,0
0,2030435
1,2030005
2,2029485
3,2028745
4,2027505
5,2027315
6,2027300
7,2026785
8,2026600
9,2026555
10,2026325
11,2025545
12,2025545
13,2024730
14,2024730
15,2023650
16,2023650
17,2023650
18,2023305
19,2023255
20,2023070
21,2022645
22,2022645
23,2022645
24,2022645
25,2022645
26,2022080
27,2022080
28,2022080
29,2022080
30,2021745
31,2021745
32,2021745
33,2021730
34,2021545
35,2021155
36,2021155
37,2021155
38,2021155
39,2020930
40,2020905
41,2020905
42,2020905
43,2020705
44,2020705
45,2020705
46,2020705
47,2020600
48,2020600
49,2020600
50,2020600
51,2020370
52,2020370
53,2020145
54,2020145
55,2020145
56,2020145
57,2020145
58,2020145
59,2020145
60,2020145
61,2020145
62,2020145
63,2020145
64,2020145
65,2020145
66,2020145
67,2020145
68,2020145
69,2020145
70,2020145
71,2020145
72,2020145
73,2020145
74,2020145
75,2020145
76,2020145
77,2020145
78,2020145
79,2020145
80,2020145
81,2020145
82,2020145
83,2020145
84,2020145
85,2020145
86,2020145
87,2020145
88,2020145
89,2020145
90,2020145
91,2020145
92,2020145
93,2020145
94,2020145
95,2020120
96,2020120
97,2020090
98,2020090
99,2019945
