Dept,Course,Slot,Room,Students
1,240,31737,57,60
1,240,20079,57,60
1,241,8401,75,60
1,241,28066,57,60
1,242,9740,6,30
1,242,16419,6,30
1,243,10356,47,90
1,243,8321,47,90
1,243,8747,47,90
1,243,29588,47,90
1,244,11113,28,120
1,244,29793,28,120
1,244,6504,28,120
1,244,18326,28,120
1,25,6220,6,30
1,236,26781,75,60
1,236,12043,57,60
1,237,17746,6,30
1,238,10905,18,60
1,238,5420,18,60
1,238,29885,57,60
1,239,9089,18,60
1,239,21883,47,60
2,240,7083,18,60
2,240,17423,18,60
2,241,5257,75,60
2,241,4274,18,60
2,242,24393,6,30
2,242,2226,6,30
2,243,471,47,90
2,243,9907,47,90
2,243,18558,47,90
2,243,3895,47,90
2,244,13105,28,120
2,244,3618,28,120
2,244,13911,28,120
2,244,8711,28,120
2,25,14211,6,30
2,236,29272,18,60
2,236,16707,75,60
2,237,19226,6,30
2,238,12642,18,60
2,238,16348,18,60
2,238,1812,57,60
2,239,19789,57,60
2,239,15159,18,60
3,240,12619,18,60
3,240,27259,18,60
3,241,4920,75,60
3,241,12532,18,60
3,242,31682,6,30
3,242,25058,6,30
3,243,10761,47,90
3,243,22621,47,90
3,243,14278,47,90
3,243,11991,47,90
3,244,18432,28,120
3,244,6266,28,120
3,244,8819,28,120
3,244,14877,28,120
3,25,2684,6,30
3,236,3223,75,60
3,236,3975,57,60
3,237,198,6,30
3,238,21690,57,60
3,238,12637,18,60
3,238,28124,57,60
3,239,729,18,60
3,239,8841,18,60
4,240,24155,57,60
4,240,18998,75,60
4,241,21737,57,60
4,241,26590,75,60
4,242,25827,6,30
4,242,14015,6,30
4,243,21550,47,90
4,243,5024,47,90
4,243,31676,47,90
4,243,6469,47,90
4,244,30124,28,120
4,244,8901,28,120
4,244,9342,14,120
4,244,167,28,120
4,25,1631,6,30
4,236,9490,47,60
4,236,691,18,60
4,237,18278,6,30
4,238,6832,18,60
4,238,15419,18,60
4,238,10600,18,60
4,239,28924,18,60
4,239,11561,57,60
5,240,1187,75,60
5,240,9180,18,60
5,241,25556,18,60
5,241,14478,75,60
5,242,31400,6,30
5,242,2699,1,30
5,243,8297,47,90
5,243,5306,47,90
5,243,6741,47,90
5,243,28513,47,90
5,244,4976,28,120
5,244,16607,3,120
5,244,8097,28,120
5,244,8669,28,120
5,25,2647,6,30
5,236,22496,75,60
5,236,11347,18,60
5,237,6278,6,30
5,238,1120,18,60
5,238,6107,75,60
5,238,5325,18,60
5,239,14851,18,60
5,239,23887,47,60
6,240,31860,57,60
6,240,8198,18,60
6,241,4183,18,60
6,241,1983,47,60
6,242,5457,6,30
6,242,11205,6,30
6,243,30824,47,90
6,243,31385,47,90
