Dept,Course,Slot,Room,Students
1,240,5073,18,60
1,240,7442,18,60
1,241,10869,18,60
1,241,16034,57,60
1,242,28769,6,30
1,242,7623,6,30
1,243,28328,47,90
1,243,28413,47,90
1,243,30141,47,90
1,243,21566,47,90
1,244,25352,28,120
1,244,1812,28,120
1,244,10246,28,120
1,244,14660,28,120
1,25,25181,6,30
1,236,6880,18,60
1,236,5163,18,60
1,237,5998,6,30
1,238,27072,75,60
1,238,25888,47,60
1,238,9823,57,60
1,239,27360,75,60
1,239,25091,75,60
2,240,8250,18,60
2,240,4990,75,60
2,241,3536,57,60
2,241,23527,18,60
2,242,19578,6,30
2,242,14291,6,30
2,243,19137,47,90
2,243,8275,47,90
2,243,10045,47,90
2,243,15523,47,90
2,244,15834,28,120
2,244,28948,58,120
2,244,12966,28,120
2,244,24769,28,120
2,25,1720,6,30
2,236,30506,18,60
2,236,27854,57,60
2,237,27345,6,30
2,238,21976,57,60
2,238,17868,57,60
2,238,31997,57,60
2,239,18051,57,60
2,239,5838,57,60
3,240,6432,18,60
3,240,15455,18,60
3,241,24321,18,60
3,241,7125,18,60
3,242,17912,6,30
3,242,26980,6,30
3,243,28957,47,90
3,243,16244,47,90
3,243,20351,47,90
3,243,27782,47,90
3,244,31576,28,120
3,244,22868,28,120
3,244,19381,28,120
3,244,24718,28,120
3,25,4017,6,30
3,236,52,75,60
3,236,543,18,60
3,237,17248,6,30
3,238,962,18,60
3,238,25702,57,60
3,238,6775,18,60
3,239,22146,47,60
3,239,1669,57,60
4,240,11566,57,60
4,240,17426,18,60
4,241,5650,57,60
4,241,18267,18,60
4,242,9026,6,30
4,242,11173,6,30
4,243,19844,47,90
4,243,27626,47,90
4,243,17236,47,90
4,243,32229,47,90
4,244,1387,28,120
4,244,850,28,120
4,244,22883,28,120
4,244,16790,28,120
4,25,8686,6,30
4,236,18752,75,60
4,236,10254,18,60
4,237,32254,6,30
4,238,17272,75,60
4,238,22552,75,60
4,238,23334,75,60
4,239,16642,18,60
4,239,17694,57,60
5,240,6193,18,60
5,240,1314,18,60
5,241,23430,18,60
5,241,2268,18,60
5,242,20507,6,30
5,242,13235,6,30
5,243,21535,47,90
5,243,6170,47,90
5,243,10453,47,90
5,243,10037,47,90
5,244,12849,28,120
5,244,17779,28,120
5,244,6927,28,120
5,244,24223,28,120
5,25,19459,6,30
5,236,11833,57,60
5,236,6307,18,60
5,237,2558,6,30
5,238,8361,75,60
5,238,31492,18,60
5,238,18917,18,60
5,239,6592,18,60
5,239,22898,18,60
6,240,27673,57,60
6,240,19121,18,60
6,241,12843,18,60
6,241,1653,57,60
6,242,26320,6,30
6,242,11858,6,30
6,243,18197,47,90
6,243,10048,47,90
6,243,29012,48,90
6,243,30683,47,90
6,244,4537,28,120
6,244,22858,28,120
6,244,9989,28,120
6,244,9407,28,120
6,25,25777,6,30
6,236,11993,57,60
6,236,12700,75,60
6,237,20115,6,30
6,238,5409,18,60
6,238,29475,18,60
6,238,27898,57,60
6,239,18529,18,60
6,239,4054,75,60
7,240,25645,57,60
7,240,12612,18,60
7,241,2740,18,60
7,241,31052,18,60
7,242,30761,6,30
7,242,7382,6,30
7,243,12952,47,90
7,243,30921,47,90
7,243,4432,47,90
7,243,4532,47,90
7,244,7561,28,120
7,244,31394,28,120
7,244,25573,28,120
7,244,26102,28,120
7,25,22062,6,30
7,236,1815,57,60
7,236,29825,57,60
7,237,26648,6,30
7,238,13033,75,60
7,238,1460,57,60
7,238,30285,75,60
7,239,2474,18,60
7,239,9349,18,60
8,240,21363,75,60
8,240,19614,57,60
8,241,15900,57,60
8,241,6743,18,60
8,242,19307,6,30
8,242,1469,6,30
8,243,14056,47,90
8,243,32121,47,90
8,243,15914,47,90
8,243,19091,47,90
8,244,21792,28,120
8,244,9667,28,120
8,244,13800,28,120
8,244,2159,28,120
8,25,2590,6,30
8,236,24435,18,60
8,236,27317,18,60
8,237,2931,6,30
8,238,22474,75,60
8,238,29886,57,60
8,238,26950,57,60
8,239,2899,75,60
8,239,707,18,60
9,240,8361,75,60
9,240,5182,75,60
9,241,31488,18,60
9,241,5524,57,60
9,242,15945,6,30
9,242,27521,6,30
9,243,8161,47,90
9,243,23489,48,90
9,243,9543,47,90
9,243,16614,47,90
9,244,9768,28,120
9,244,4401,28,120
9,244,24722,28,120
9,244,28964,28,120
9,25,20746,6,30
9,236,290,75,60
9,236,28019,57,60
9,237,14381,6,30
9,238,30300,75,60
9,238,15102,18,60
9,238,5559,57,60
9,239,15302,75,60
9,239,17113,18,60
10,240,10214,18,60
10,240,14979,75,60
10,241,6525,75,60
10,241,15854,57,60
