Dept,Course,Slot,Room,Students
1,240,17736,57,60
1,240,25614,47,60
1,241,28628,18,60
1,241,15823,47,60
1,242,30709,6,30
1,242,21877,6,30
1,243,25998,47,90
1,243,13731,47,90
1,243,28485,47,90
1,243,27046,47,90
1,244,2193,28,120
1,244,4413,28,120
1,244,15830,28,120
1,244,13919,28,120
1,25,9667,6,30
1,236,8426,75,60
1,236,1967,57,60
1,237,20741,6,30
1,238,29801,57,60
1,238,17682,57,60
1,238,13175,18,60
1,239,20872,18,60
1,239,24585,18,60
2,240,2530,18,60
2,240,8426,75,60
2,241,30117,57,60
2,241,15599,57,60
2,242,20089,6,30
2,242,26591,6,30
2,243,24585,47,90
2,243,3371,47,90
2,243,18109,47,90
2,243,28767,47,90
2,244,1738,28,120
2,244,3311,28,120
2,244,18590,28,120
2,244,26287,28,120
2,25,28660,6,30
2,236,21487,18,60
2,236,1359,18,60
2,237,13882,6,30
2,238,15648,57,60
2,238,6370,75,60
2,238,29462,75,60
2,239,27553,18,60
2,239,11314,75,60
3,240,22982,18,60
3,240,19718,57,60
3,241,30794,18,60
3,241,22950,18,60
3,242,2028,6,30
3,242,9756,6,30
3,243,561,47,90
3,243,4043,47,90
3,243,27020,47,90
3,243,30190,47,90
3,244,24627,28,120
3,244,860,28,120
3,244,8509,28,120
3,244,3044,28,120
3,25,18797,6,30
3,236,25349,75,60
3,236,31582,18,60
3,237,30114,6,30
3,238,2414,18,60
3,238,20515,75,60
3,238,854,75,60
3,239,27522,18,60
3,239,22357,18,60
4,240,16489,75,60
4,240,23453,18,60
4,241,6848,18,60
4,241,26483,75,60
4,242,8868,6,30
4,242,23155,6,30
4,243,26760,47,90
4,243,75,47,90
4,243,27591,47,90
4,243,1054,47,90
4,244,5656,28,120
4,244,10603,28,120
4,244,6413,28,120
4,244,6896,28,120
4,25,8581,6,30
4,236,5552,57,60
4,236,698,18,60
4,237,2924,6,30
4,238,6465,18,60
4,238,26316,18,60
4,238,4029,47,60
4,239,3637,57,60
4,239,8935,75,60
5,240,13874,57,60
5,240,28742,18,60
5,241,31590,18,60
5,241,4543,18,60
5,242,8205,6,30
5,242,30575,6,30
5,243,6155,47,90
5,243,25701,47,90
5,243,24671,47,90
5,243,6087,47,90
5,244,12784,28,120
5,244,15127,28,120
5,244,24140,28,120
5,244,21405,28,120
5,25,15712,6,30
5,236,1494,57,60
5,236,31206,18,60
5,237,22823,6,30
5,238,28610,18,60
5,238,28099,57,60
5,238,20036,57,60
5,239,13688,57,60
5,239,20481,75,60
6,240,10200,18,60
6,240,26316,18,60
6,241,16376,18,60
6,241,24813,75,60
6,242,932,6,30
6,242,23486,7,30
6,243,28095,47,90
6,243,9125,47,90
6,243,13878,47,90
6,243,31246,47,90
6,244,528,28,120
6,244,2604,28,120
6,244,5838,28,120
6,244,29927,28,120
6,25,26338,6,30
6,236,15262,75,60
6,236,6854,18,60
6,237,24237,6,30
6,238,22787,75,60
6,238,16605,18,60
6,238,19182,18,60
6,239,24074,57,60
6,239,15535,47,60
7,240,8739,18,60
7,240,3653,57,60
7,241,10580,18,60
7,241,27701,57,60
7,242,11289,6,30
7,242,15290,6,30
7,243,10383,47,90
7,243,15727,47,90
7,243,27856,47,90
7,243,359,47,90
7,244,18787,28,120
7,244,17774,28,120
7,244,25110,28,120
7,244,15863,28,120
7,25,12393,6,30
7,236,15746,57,60
7,236,24175,47,60
7,237,26599,6,30
7,238,12636,18,60
7,238,15597,57,60
7,238,29169,75,60
7,239,16345,18,60
7,239,18282,18,60
8,240,1405,18,60
8,240,28925,18,60
8,241,29722,57,60
8,241,21477,75,60
8,242,14566,6,30
8,242,13898,6,30
8,243,4252,47,90
8,243,28588,47,90
8,243,1096,47,90
8,243,5724,47,90
8,244,26784,28,120
8,244,4998,28,120
8,244,1740,28,120
8,244,14653,28,120
8,25,16568,6,30
8,236,7021,18,60
8,236,22758,75,60
8,237,25845,6,30
8,238,15833,47,60
8,238,32004,57,60
8,238,19533,18,60
8,239,816,18,60
8,239,17847,47,60
9,240,1115,18,60
9,240,28915,18,60
9,241,25682,57,60
9,241,6308,18,60
9,242,9093,6,30
9,242,9125,6,30
9,243,21048,47,90
9,243,25588,47,90
9,243,15222,47,90
9,243,17055,47,90
9,244,15416,28,120
9,244,29940,28,120
9,244,19318,28,120
9,244,23247,28,120
9,25,23875,6,30
9,236,16521,18,60
9,236,14308,18,60
9,237,1483,6,30
9,238,56,75,60
9,238,751,18,60
9,238,21303,75,60
