Department,Course,Slot,Room,Students
1,48,2798,,727
1,48,13314,,727
1,48,20071,,727
1,48,5935,,727
1,48,13406,,727
1,48,17939,,727
1,48,12220,,727
1,48,9345,,727
1,48,25214,,727
1,48,17688,,727
1,48,13943,,727
1,48,27578,,727
1,52,20899,23,180
1,52,11537,23,180
1,52,18492,23,180
1,52,24019,23,180
1,70,899,,344
1,70,5559,,344
1,70,2798,,344
1,70,21734,,344
1,70,1655,,344
1,70,3088,,344
1,70,20678,,344
1,119,7301,3,40
1,63,26210,,400
1,63,1066,,400
1,63,16586,,400
1,63,26587,,400
1,63,27505,,400
1,63,29957,,400
1,63,8745,,400
1,63,15353,,400
1,63,25665,,400
2,48,3469,,727
2,48,28513,,727
2,48,26169,,727
2,48,21648,,727
2,48,6264,,727
2,48,17917,,727
2,48,23851,,727
2,48,9245,,727
2,48,13714,,727
2,48,12617,,727
2,48,9840,,727
2,48,1255,,727
2,52,10427,23,180
2,52,20591,23,180
2,52,15664,23,180
2,52,6522,23,180
2,70,18592,,344
2,70,15737,,344
2,70,967,,344
2,70,24620,,344
2,70,24428,,344
2,70,11246,,344
2,70,14766,,344
2,119,27326,3,40
2,63,15432,,400
2,63,15626,,400
2,63,23075,,400
2,63,20534,,400
2,63,28209,,400
2,63,10574,,400
2,63,27054,,400
2,63,3010,,400
2,63,10666,,400
3,48,26065,,727
3,48,15454,,727
3,48,18331,,727
3,48,22508,,727
3,48,13952,,727
3,48,7943,,727
3,48,9538,,727
3,48,12892,,727
3,48,18828,,727
3,48,20025,,727
3,48,29282,,727
3,48,24531,,727
3,70,23972,,344
3,70,22911,,344
3,70,8433,,344
3,70,2260,,344
3,70,14450,,344
3,70,18338,,344
3,70,18470,,344
3,119,20761,3,40
4,48,23430,,727
4,48,21338,,727
4,48,5965,,727
4,48,22409,,727
4,48,4370,,727
4,48,24587,,727
4,48,25920,,727
4,48,18427,,727
4,48,15018,,727
4,48,13155,,727
4,48,3841,,727
4,48,2092,,727
4,52,18143,23,180
4,52,19641,23,180
4,52,20708,23,180
4,52,10745,23,180
4,70,1209,,344
4,70,8802,,344
4,70,17437,,344
4,70,852,,344
4,70,7586,,344
4,70,23776,,344
4,70,20874,,344
4,119,28295,3,40
4,63,4761,,400
4,63,19183,,400
4,63,17109,,400
4,63,1335,,400
4,63,16822,,400
4,63,5623,,400
4,63,7002,,400
4,63,11640,,400
4,63,15,,400
5,48,24037,,727
5,48,18863,,727
5,48,25965,,727
5,48,18961,,727
5,48,26150,,727
5,48,21193,,727
5,48,7819,,727
5,48,23692,,727
5,48,12734,,727
5,48,5814,,727
5,48,9719,,727
5,48,2973,,727
5,52,618,23,180
5,52,20487,23,180
5,52,14074,23,180
5,52,5107,23,180
5,70,29916,,344
5,70,25782,,344
5,70,29185,,344
5,70,7469,,344
5,70,14806,,344
5,70,18650,,344
5,70,27854,,344
5,119,24592,3,40
5,63,26938,,400
5,63,11219,,400
5,63,21200,,400
5,63,23523,,400
5,63,12627,,400
5,63,26256,,400
5,63,11877,,400
5,63,12308,,400
5,63,14465,,400
6,48,21466,,727
6,48,669,,727
6,48,29587,,727
6,48,17800,,727
6,48,26893,,727
6,48,13472,,727
6,48,27784,,727
6,48,20391,,727
6,48,10222,,727
6,48,16735,,727
6,48,6015,,727
6,48,19644,,727
6,52,21454,23,180
6,52,11541,23,180
6,52,15445,23,180
6,52,13166,23,180
6,70,22106,,344
6,70,16405,,344
6,70,5280,,344
6,70,13028,,344
6,70,14861,,344
6,70,19821,,344
6,70,8485,,344
6,119,3652,3,40
6,63,28444,,400
6,63,12554,,400
6,63,24729,,400
6,63,15727,,400
6,63,13067,,400
6,63,14646,,400
6,63,755,,400
6,63,778,,400
6,63,4116,,400
7,48,16155,,727
7,48,26250,,727
7,48,6885,,727
7,48,11936,,727
7,48,4365,,727
7,48,8862,,727
7,48,11243,,727
7,48,10129,,727
7,48,25145,,727
7,48,23753,,727
7,48,21174,,727
7,48,5030,,727
7,52,19197,23,180
7,52,7638,23,180
7,52,6335,23,180
7,52,13010,23,180
7,70,23398,,344
7,70,20566,,344
7,70,26038,,344
7,70,4088,,344
7,70,5632,,344
7,70,6589,,344
7,70,18843,,344
7,63,15938,,400
7,63,29042,,400
7,63,4037,,400
7,63,24644,,400
7,63,4560,,400
7,63,23373,,400
7,63,3718,,400
7,63,22907,,400
7,63,13916,,400
8,63,3898,,400
8,63,16125,,400
8,63,20769,,400
8,63,28535,,400
8,63,18559,,400
8,63,29956,,400
8,63,25164,,400
8,63,6694,,400
8,63,10702,,400
9,52,30190,23,180
9,52,26856,23,180
9,52,5723,23,180
9,52,21702,23,180
10,52,22884,23,180
10,52,15793,23,180
10,52,16783,23,180
10,52,28117,23,180
10,119,8863,3,40
10,63,8713,,400
10,63,14308,,400
10,63,12530,,400
10,63,27596,,400
10,63,14106,,400
10,63,5850,,400
10,63,15034,,400
10,63,21662,,400
10,63,16087,,400
11,98,19797,33,100
11,98,22979,33,100
11,98,6099,33,100
11,98,7328,33,100
11,35,9054,16,66
11,37,11910,33,96
11,37,9361,33,96
11,37,14218,33,96
11,149,15876,12,136
11,149,16644,12,136
11,149,29273,12,136
11,149,19454,,136
11,53,26363,12,148
11,53,8776,12,148
11,53,24780,12,148
11,90,20456,26,47
11,90,25176,26,47
11,173,24640,12,140
11,173,19849,12,140
11,173,3902,12,140
11,173,25317,12,140
12,98,8778,33,100
12,98,1221,33,100
12,98,5970,33,100
12,98,27335,33,100
12,35,4339,16,66
12,36,19628,10,18
12,37,7984,33,96
12,37,18092,33,96
12,37,7649,33,96
12,149,21574,12,136
12,149,25441,12,136
12,149,18377,12,136
12,149,1269,12,136
12,53,11216,12,148
12,53,691,12,148
12,53,8327,12,148
12,90,16535,26,47
12,90,21462,25,47
12,173,1251,12,140
12,173,24624,12,140
12,173,22414,12,140
12,173,12005,12,140
13,98,20014,33,100
13,98,25056,33,100
13,98,26641,33,100
13,98,22725,33,100
13,82,6921,16,70
13,35,29337,16,66
13,36,21201,10,18
13,37,17924,33,96
13,37,5273,33,96
13,37,29444,33,96
13,149,12174,12,136
13,149,3328,,136
13,149,1337,12,136
13,149,23692,12,136
13,53,25973,12,148
13,53,5173,12,148
13,53,16769,12,148
13,90,25553,25,47
13,90,1596,26,47
14,98,2811,33,100
14,98,14466,33,100
14,98,6453,33,100
14,98,2078,33,100
14,35,11502,16,66
14,36,14028,10,18
14,37,26386,33,96
14,37,23773,33,96
14,37,9094,33,96
14,149,10666,12,136
14,149,22519,12,136
14,149,20364,12,136
14,149,17081,12,136
14,53,30124,12,148
14,53,22,12,148
14,53,21549,,148
14,90,13851,26,47
14,90,20084,26,47
14,172,30142,3,40
15,98,22399,33,100
15,98,24886,33,100
15,98,12895,33,100
15,98,20692,33,100
15,35,1621,16,66
15,37,14578,33,96
15,37,13101,33,96
15,37,9969,33,96
15,149,3997,12,136
15,149,15030,12,136
15,149,10003,12,136
15,149,253,12,136
15,53,5526,12,148
15,53,27581,12,148
15,53,21234,12,148
15,90,18554,26,47
15,90,20122,26,47
15,172,6583,3,40
15,30,27157,16,68
15,30,7465,16,68
16,98,21741,33,100
16,98,17324,33,100
16,98,16,33,100
16,98,16453,33,100
16,35,15980,16,66
16,37,4013,33,96
16,37,1217,33,96
16,37,1724,33,96
16,149,6061,12,136
16,149,1358,12,136
16,149,14020,12,136
16,149,21332,12,136
16,53,8303,12,148
16,53,6589,12,148
16,53,7447,12,148
16,90,28456,26,47
16,90,26569,26,47
16,173,24400,12,140
16,173,26798,12,140
16,173,22158,12,140
16,173,18542,12,140
16,30,27342,16,68
16,30,11358,16,68
17,98,11920,33,100
17,98,26527,33,100
17,98,15816,33,100
17,98,9132,33,100
17,35,26031,16,66
17,37,15838,33,96
17,37,5988,33,96
17,37,21508,33,96
17,149,5728,12,136
17,149,13320,12,136
17,149,28438,12,136
17,149,25772,12,136
17,53,3652,12,148
17,53,23191,12,148
17,53,10320,12,148
17,152,4097,7,31
17,152,11531,7,31
17,90,249,26,47
17,90,25924,26,47
17,172,13041,3,40
18,98,26546,33,100
18,98,6281,33,100
18,98,26169,33,100
18,98,18046,33,100
18,82,2419,16,70
18,35,9495,16,66
18,37,28453,33,96
18,37,3741,33,96
18,37,17647,33,96
18,149,3990,12,136
18,149,4477,12,136
18,149,11235,12,136
18,149,2327,12,136
18,53,23019,12,148
18,53,21972,12,148
18,53,27356,12,148
18,90,16336,26,47
18,90,11856,26,47
18,30,27423,16,68
18,30,6728,16,68
19,98,19224,33,100
19,98,19393,33,100
19,98,24178,33,100
19,98,25605,33,100
19,35,15211,16,66
19,36,26946,10,18
19,37,29946,33,96
19,37,15455,33,96
19,37,29278,33,96
19,149,6747,12,136
19,149,21530,,136
19,149,29596,12,136
19,149,28032,12,136
19,53,19932,12,148
19,53,12191,12,148
19,53,21214,12,148
19,90,18341,26,47
19,90,4596,26,47
19,173,25588,12,140
19,173,7465,12,140
19,173,29123,12,140
19,173,14052,12,140
20,98,29575,33,100
20,98,19571,33,100
20,98,6361,33,100
20,98,10048,33,100
20,82,14533,16,70
20,35,2893,16,66
20,37,26727,33,96
20,37,10231,33,96
20,37,5947,33,96
20,149,5665,12,136
20,149,3823,12,136
20,149,1424,12,136
20,149,20099,12,136
20,53,25293,12,148
20,53,995,12,148
20,53,29882,12,148
20,90,29910,26,47
20,90,20258,26,47
20,30,21896,16,68
20,30,12261,16,68
21,98,6088,33,100
21,98,29030,33,100
21,98,15291,33,100
21,98,29617,33,100
21,82,20442,16,70
21,35,27888,16,66
21,37,22558,33,96
21,37,28824,33,96
21,37,13375,33,96
21,149,13805,12,136
21,149,15587,12,136
21,149,13712,12,136
21,149,13574,12,136
21,53,6257,12,148
21,53,10947,12,148
21,53,30221,12,148
21,152,23847,7,31
21,152,25154,7,31
21,90,22220,26,47
21,90,7862,26,47
22,98,6361,33,100
22,98,21320,33,100
22,98,1194,33,100
22,98,20011,33,100
22,82,23908,16,70
22,35,3977,16,66
22,37,12186,33,96
22,37,15191,33,96
22,37,28309,33,96
22,149,23104,12,136
22,149,7930,12,136
22,149,18840,12,136
22,149,22991,12,136
22,53,1597,12,148
22,53,18174,12,148
22,53,24778,12,148
22,152,13147,7,31
22,152,23276,7,31
22,90,14286,26,47
22,90,18038,26,47
23,98,23203,33,100
23,98,21793,33,100
23,98,4665,33,100
23,98,27358,33,100
23,35,448,16,66
23,37,6072,33,96
23,37,3652,33,96
23,37,25942,33,96
23,149,1344,12,136
23,149,2808,12,136
23,149,27630,12,136
23,149,27496,12,136
23,53,772,12,148
23,53,25694,12,148
23,53,6029,12,148
23,152,3632,7,31
23,152,2211,7,31
23,90,21750,26,47
23,90,27947,26,47
23,173,11204,12,140
23,173,18236,12,140
23,173,21977,12,140
23,173,21132,12,140
24,98,23392,33,100
24,98,30073,33,100
24,98,18538,33,100
24,98,25588,33,100
24,35,19440,33,66
24,37,5269,33,96
24,37,1747,33,96
24,37,4228,33,96
24,149,3327,,136
24,149,21649,12,136
24,149,21137,12,136
24,149,17949,12,136
24,53,15678,12,148
24,53,26257,12,148
24,53,6436,12,148
24,90,19853,26,47
24,90,4149,26,47
24,172,7738,3,40
25,98,17368,33,100
